mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-03-18 10:00:23.975971072,-74.89,-109.21,1361.0,144.0,-1293.0,138.3,424.0,190.0,5,S,1A,3031
2015-06-25 04:36:14.330130944,-74.89,-109.21,1458.0,265.0,-1401.0,273.4,403.0,114.8,11,S,1A,3031
2019-01-28 10:00:12.509625856,-74.89,-109.21,1518.0,112.0,-1441.0,107.7,477.0,145.9,5,S,1A,3031
2019-10-31 10:00:21.458768896,-74.89,-109.21,1324.0,130.0,-1252.0,122.4,433.0,182.6,5,S,1A,3031
2021-10-18 04:36:29.191486976,-74.89,-109.21,1284.0,65.0,-1200.0,60.5,458.0,89.4,6,S,1B,3031
2019-12-13 15:14:45.075109120,-74.89,-109.21,1357.0,13.0,-1282.0,13.3,446.0,13.9,99,S,2B,3031
2021-12-19 05:09:09.289953792,-74.89,-109.21,1377.0,138.0,-1338.0,138.4,326.0,125.5,5,S,1A,3031
2022-01-24 15:24:41.075109120,-74.89,-109.21,1375.0,30.0,-1314.0,29.6,406.0,28.5,39,S,2B,3031
2021-03-02 15:14:47.075109120,-74.89,-109.21,1455.0,70.0,-1365.0,68.6,504.0,80.2,10,S,2B,3031
2018-11-24 04:36:30.980165888,-74.89,-109.21,1365.0,54.0,-1319.0,52.9,350.0,67.6,11,S,1A,3031
2018-12-27 04:36:09.005941248,-74.89,-109.21,1354.0,65.0,-1304.0,59.4,363.0,114.5,5,S,1A,3031
2018-02-03 04:35:40.042462976,-74.89,-109.21,1394.0,66.0,-1303.0,62.3,494.0,87.2,11,S,1B,3031
2020-01-15 04:36:14.516509952,-74.89,-109.21,1335.0,52.0,-1226.0,44.7,528.0,79.5,5,S,1A,3031
2021-02-08 04:36:19.741450240,-74.89,-109.21,1328.0,74.0,-1190.0,61.1,590.0,112.0,6,S,1B,3031
2021-07-16 10:00:29.937331968,-74.89,-109.21,1531.0,175.0,-1417.0,166.8,580.0,218.4,5,S,1A,3031
2018-09-16 04:36:10.055729920,-74.89,-109.21,1515.0,84.0,-1387.0,70.9,609.0,132.2,6,S,1B,3031
2021-01-21 04:36:20.305067008,-74.89,-109.21,1279.0,47.0,-1222.0,41.0,375.0,90.2,5,S,1A,3031
2021-03-12 05:09:01.308667904,-74.89,-109.21,1465.0,107.0,-1400.0,108.6,433.0,95.1,6,S,1B,3031
