mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-03-18 10:00:23.975971072,-74.92,-109.21,1402.0,146.0,-1311.0,138.3,497.0,190.0,5,S,1A,3031
2019-01-28 10:00:12.509625856,-74.92,-109.21,1499.0,114.0,-1390.0,107.7,562.0,145.9,5,S,1A,3031
2019-10-31 10:00:21.458768896,-74.92,-109.21,1262.0,132.0,-1177.0,122.4,454.0,182.6,5,S,1A,3031
2021-10-18 04:36:29.191486976,-74.92,-109.21,1226.0,62.0,-1194.0,60.5,277.0,89.4,6,S,1B,3031
2020-08-15 04:36:00.299555072,-74.92,-109.21,1232.0,96.0,-1109.0,100.3,537.0,74.3,12,S,1B,3031
2019-12-13 15:14:45.075109120,-74.92,-109.21,1384.0,13.0,-1286.0,13.3,514.0,13.9,99,S,2B,3031
2021-12-19 05:09:09.289953792,-74.92,-109.21,1349.0,137.0,-1287.0,138.4,405.0,125.5,5,S,1A,3031
2022-01-24 15:24:41.075109120,-74.92,-109.21,1435.0,30.0,-1359.0,29.6,461.0,28.5,39,S,2B,3031
2021-03-02 15:14:47.075109120,-74.92,-109.21,1420.0,70.0,-1309.0,68.6,549.0,80.2,10,S,2B,3031
2018-11-24 04:36:30.980165888,-74.92,-109.21,1394.0,54.0,-1353.0,52.9,335.0,67.6,11,S,1A,3031
2018-12-27 04:36:09.005941248,-74.92,-109.21,1332.0,71.0,-1216.0,59.4,542.0,114.5,5,S,1A,3031
2018-02-03 04:35:40.042462976,-74.92,-109.21,1414.0,65.0,-1342.0,62.3,448.0,87.2,11,S,1B,3031
2020-01-15 04:36:14.516509952,-74.92,-109.21,1380.0,57.0,-1158.0,44.7,751.0,79.5,5,S,1A,3031
2020-01-27 04:36:14.140062976,-74.92,-109.21,1262.0,65.0,-1127.0,49.4,568.0,106.2,5,S,1A,3031
2021-02-08 04:36:19.741450240,-74.92,-109.21,1278.0,71.0,-1177.0,61.1,499.0,112.0,6,S,1B,3031
