mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2019-10-25 10:00:21.568833024,-74.9,-109.32,1150.0,144.0,-1102.0,138.8,328.0,190.1,6,S,1B,3031
2021-12-18 15:35:24.370118912,-74.9,-109.32,1309.0,105.0,-1283.0,104.3,257.0,115.7,8,L,9.0,3031
2018-11-26 09:59:53.781861888,-74.9,-109.32,1398.0,90.0,-1344.0,86.7,384.0,119.5,11,S,1B,3031
2021-05-23 05:09:04.075405056,-74.9,-109.32,1424.0,151.0,-1346.0,154.1,467.0,120.9,6,S,1B,3031
2018-12-29 10:00:13.504905216,-74.9,-109.32,1368.0,129.0,-1336.0,127.3,293.0,165.2,6,S,1B,3031
2021-01-17 10:00:24.996235008,-74.9,-109.32,1376.0,185.0,-1300.0,180.4,452.0,221.2,5,S,1A,3031
2018-02-10 15:43:12.075109120,-74.9,-109.32,1427.0,89.0,-1350.0,89.4,461.0,84.6,10,S,2A,3031
2021-02-04 10:00:24.445384960,-74.9,-109.32,1543.0,149.0,-1445.0,141.8,539.0,191.4,6,S,1B,3031
2017-12-19 05:09:07.317500928,-74.9,-109.32,1440.0,101.0,-1401.0,102.0,335.0,72.2,11,S,1A,3031
2021-12-26 15:44:37.075109376,-74.9,-109.32,1356.0,25.0,-1265.0,25.1,490.0,23.1,50,S,2B,3031
2018-05-01 04:36:02.407078912,-74.9,-109.32,1335.0,38.0,-1313.0,36.7,243.0,67.7,5,S,1A,3031
2022-01-16 15:14:43.575109120,-74.9,-109.32,1664.0,101.0,-1268.0,95.7,1078.0,108.3,9,S,2B,3031
2021-03-07 04:35:58.433344000,-74.9,-109.32,1263.0,52.0,-1128.0,46.5,567.0,69.3,12,S,1B,3031
2021-03-12 10:00:23.933815808,-74.9,-109.32,1366.0,151.0,-1277.0,142.2,484.0,204.3,6,S,1B,3031
2018-04-16 04:35:40.758503936,-74.9,-109.32,1304.0,57.0,-1253.0,54.7,363.0,83.4,12,S,1B,3031
2020-03-20 09:59:57.276672000,-74.9,-109.32,1262.0,74.0,-1153.0,69.0,514.0,93.4,12,S,1B,3031
2014-12-03 04:36:27.782561024,-74.9,-109.32,1342.0,269.0,-1289.0,277.4,372.0,123.2,11,S,1A,3031
2021-02-04 05:09:01.824769024,-74.9,-109.32,1336.0,107.0,-1256.0,108.8,456.0,96.7,6,S,1B,3031
2018-08-25 10:00:13.631900160,-74.9,-109.32,1815.0,108.0,-1705.0,104.6,622.0,132.9,5,S,1A,3031
2017-02-11 04:36:14.071695104,-74.9,-109.32,1479.0,771.0,-1416.0,800.4,429.0,286.9,5,S,1A,3031
2017-12-17 04:35:41.775485952,-74.9,-109.32,1314.0,52.0,-1244.0,49.4,423.0,69.1,11,S,1B,3031
2018-04-25 04:36:02.064215808,-74.9,-109.32,1383.0,61.0,-1146.0,51.8,775.0,76.4,6,S,1B,3031
2020-11-12 10:00:27.730620928,-74.9,-109.32,1153.0,140.0,-1081.0,133.6,400.0,177.5,6,S,1B,3031
2022-01-02 07:34:19.079939072,-74.9,-109.32,1312.0,52.0,-1240.0,52.1,428.0,50.2,23,L,9.0,3031
