mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-03-18 10:00:23.975971072,-74.89,-109.44,1309.0,144.0,-1247.0,138.3,398.0,190.0,5,S,1A,3031
2019-01-28 10:00:12.509625856,-74.89,-109.44,1229.0,111.0,-1177.0,107.7,351.0,145.9,5,S,1A,3031
2019-10-31 10:00:21.458768896,-74.89,-109.44,1143.0,129.0,-1091.0,122.4,342.0,182.6,5,S,1A,3031
2021-10-18 04:36:29.191486976,-74.89,-109.44,1307.0,65.0,-1215.0,60.5,481.0,89.4,6,S,1B,3031
2021-12-19 05:09:09.289953792,-74.89,-109.44,1314.0,138.0,-1299.0,138.4,194.0,125.5,5,S,1A,3031
2022-01-24 15:24:41.075109120,-74.89,-109.44,1285.0,29.0,-1190.0,29.6,483.0,28.5,39,S,2B,3031
2021-03-02 15:14:47.075109120,-74.89,-109.44,1341.0,70.0,-1255.0,68.6,472.0,80.2,10,S,2B,3031
2018-12-27 04:36:09.005941248,-74.89,-109.44,1337.0,64.0,-1292.0,59.4,344.0,114.5,5,S,1A,3031
2018-02-03 04:35:40.042462976,-74.89,-109.44,1345.0,65.0,-1276.0,62.3,423.0,87.2,11,S,1B,3031
2020-01-15 04:36:14.516509952,-74.89,-109.44,1296.0,47.0,-1261.0,44.7,298.0,79.5,5,S,1A,3031
2020-01-27 04:36:14.140062976,-74.89,-109.44,1182.0,76.0,-939.0,49.4,718.0,106.2,5,S,1A,3031
2021-07-16 10:00:29.937331968,-74.89,-109.44,1340.0,175.0,-1236.0,166.8,517.0,218.4,5,S,1A,3031
2018-09-16 04:36:10.055729920,-74.89,-109.44,1334.0,81.0,-1247.0,70.9,476.0,132.2,6,S,1B,3031
2021-01-21 04:36:20.305067008,-74.89,-109.44,1271.0,47.0,-1215.0,41.0,372.0,90.2,5,S,1A,3031
2021-03-12 05:09:01.308667904,-74.89,-109.44,1374.0,107.0,-1306.0,108.6,426.0,95.1,6,S,1B,3031
2022-01-25 15:23:00.421384960,-74.89,-109.44,1292.0,63.0,-1176.0,61.4,535.0,68.4,16,L,9.0,3031
2022-01-07 04:36:47.443003904,-74.89,-109.44,1236.0,60.0,-1170.0,57.1,400.0,84.0,11,S,1A,3031
2020-11-24 10:00:27.370262016,-74.89,-109.44,1402.0,137.0,-1321.0,131.1,470.0,175.9,6,S,1B,3031
2021-10-12 04:36:29.101488128,-74.89,-109.44,1362.0,63.0,-1223.0,54.5,600.0,88.6,5,S,1A,3031
2021-03-06 05:09:01.257955072,-74.89,-109.44,1294.0,109.0,-1225.0,111.7,419.0,83.1,5,S,1A,3031
2016-12-07 04:36:17.064667136,-74.89,-109.44,1450.0,422.0,-1375.0,440.0,460.0,193.5,6,S,1B,3031
2018-02-27 04:35:39.694615040,-74.89,-109.44,1233.0,48.0,-1155.0,45.3,431.0,62.7,12,S,1B,3031
2021-08-03 05:09:08.430390016,-74.89,-109.44,1369.0,134.0,-1296.0,138.2,439.0,83.4,6,S,1B,3031
2021-08-03 10:00:31.051162112,-74.89,-109.44,1252.0,124.0,-1190.0,118.0,390.0,172.2,6,S,1B,3031
2021-12-20 15:24:40.575109120,-74.89,-109.44,1424.0,62.0,-1380.0,61.6,351.0,65.4,10,S,2B,3031
2021-11-01 10:00:33.565858048,-74.89,-109.44,1313.0,135.0,-1253.0,129.9,392.0,176.9,5,S,1A,3031
2016-12-01 04:36:17.264551936,-74.89,-109.44,1449.0,398.0,-1372.0,414.4,465.0,214.6,5,S,1A,3031
2017-01-15 15:22:56.075109120,-74.89,-109.44,1436.0,39.0,-1366.0,39.4,442.0,37.1,20,S,2A,3031
2018-02-17 05:09:05.567150080,-74.89,-109.44,1362.0,96.0,-1308.0,98.4,377.0,63.3,11,S,1A,3031
2022-01-03 10:00:52.152828928,-74.89,-109.44,1229.0,99.0,-1167.0,96.1,383.0,122.0,11,S,1A,3031
2018-02-18 03:43:09.075109120,-74.89,-109.44,1312.0,41.0,-1235.0,41.1,444.0,42.7,24,S,2A,3031
2021-02-13 15:24:45.575109120,-74.89,-109.44,1302.0,21.0,-1229.0,21.8,430.0,18.3,49,S,2B,3031
2022-01-25 15:44:37.075109376,-74.89,-109.44,1271.0,20.0,-1193.0,20.6,437.0,19.6,49,S,2B,3031
2019-10-29 04:36:17.007552000,-74.89,-109.44,1213.0,68.0,-1133.0,63.5,434.0,93.0,6,S,1B,3031
2022-02-04 15:44:36.575109120,-74.89,-109.44,1246.0,44.0,-1194.0,44.9,357.0,39.4,29,S,2B,3031
2019-12-12 10:00:20.541819904,-74.89,-109.44,1167.0,179.0,-1062.0,169.3,483.0,222.2,6,S,1B,3031
2022-01-01 15:14:43.075109120,-74.89,-109.44,1257.0,18.0,-1188.0,17.7,412.0,22.8,59,S,2B,3031
2017-12-25 05:08:21.533934848,-74.89,-109.44,1379.0,144.0,-1301.0,150.2,457.0,76.8,11,S,1B,3031
2021-12-02 15:14:46.075109376,-74.89,-109.44,1239.0,13.0,-1202.0,12.7,300.0,16.4,99,S,2B,3031
2021-05-23 10:00:26.708293120,-74.89,-109.44,1232.0,152.0,-1176.0,146.3,367.0,205.4,6,S,1B,3031
2018-12-14 10:00:34.859627008,-74.89,-109.44,1316.0,73.0,-1271.0,70.8,342.0,103.1,11,S,1A,3031
2019-11-01 04:35:56.045422080,-74.89,-109.44,1208.0,81.0,-1094.0,80.8,512.0,80.3,11,S,1B,3031
2018-12-17 10:00:13.803874048,-74.89,-109.44,1160.0,160.0,-1125.0,155.1,284.0,218.3,6,S,1B,3031
2018-03-02 04:36:00.735056896,-74.89,-109.44,1367.0,69.0,-1273.0,60.7,500.0,108.2,5,S,1A,3031
2019-02-07 04:36:07.543064832,-74.89,-109.44,1283.0,64.0,-1199.0,57.8,457.0,97.7,6,S,1B,3031
2019-10-25 10:00:21.568833024,-74.89,-109.44,1374.0,146.0,-1288.0,138.8,476.0,190.1,6,S,1B,3031
2021-12-18 15:35:24.370118912,-74.89,-109.44,1303.0,106.0,-1198.0,104.3,513.0,115.7,8,L,9.0,3031
2018-11-26 09:59:53.781861888,-74.89,-109.44,1229.0,89.0,-1190.0,86.7,309.0,119.5,11,S,1B,3031
2021-05-23 05:09:04.075405056,-74.89,-109.44,1375.0,150.0,-1274.0,154.1,518.0,120.9,6,S,1B,3031
2018-12-29 10:00:13.504905216,-74.89,-109.44,1322.0,130.0,-1279.0,127.3,336.0,165.2,6,S,1B,3031
2021-01-17 10:00:24.996235008,-74.89,-109.44,1243.0,185.0,-1177.0,180.4,398.0,221.2,5,S,1A,3031
