mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2021-03-18 10:00:23.975971072,-74.92,-109.44,1399.0,146.0,-1303.0,138.3,509.0,190.0,5,S,1A,3031
2019-01-28 10:00:12.509625856,-74.92,-109.44,1478.0,113.0,-1384.0,107.7,521.0,145.9,5,S,1A,3031
2019-10-31 10:00:21.458768896,-74.92,-109.44,1375.0,142.0,-1166.0,122.4,728.0,182.6,5,S,1A,3031
2019-12-13 15:14:45.075109120,-74.92,-109.44,1295.0,13.0,-1173.0,13.3,550.0,13.9,99,S,2B,3031
2021-12-19 05:09:09.289953792,-74.92,-109.44,1396.0,136.0,-1227.0,138.4,667.0,125.5,5,S,1A,3031
2022-01-24 15:24:41.075109120,-74.92,-109.44,1321.0,29.0,-1225.0,29.6,494.0,28.5,39,S,2B,3031
2021-03-02 15:14:47.075109120,-74.92,-109.44,1388.0,71.0,-1254.0,68.6,595.0,80.2,10,S,2B,3031
2018-12-27 04:36:09.005941248,-74.92,-109.44,1341.0,70.0,-1246.0,59.4,496.0,114.5,5,S,1A,3031
2018-02-03 04:35:40.042462976,-74.92,-109.44,1336.0,66.0,-1247.0,62.3,480.0,87.2,11,S,1B,3031
2020-01-15 04:36:14.516509952,-74.92,-109.44,1286.0,58.0,-1067.0,44.7,718.0,79.5,5,S,1A,3031
2021-07-16 10:00:29.937331968,-74.92,-109.44,1341.0,179.0,-1196.0,166.8,605.0,218.4,5,S,1A,3031
2018-09-16 04:36:10.055729920,-74.92,-109.44,1360.0,82.0,-1268.0,70.9,493.0,132.2,6,S,1B,3031
2021-01-21 04:36:20.305067008,-74.92,-109.44,1303.0,47.0,-1253.0,41.0,358.0,90.2,5,S,1A,3031
2021-03-12 05:09:01.308667904,-74.92,-109.44,1370.0,107.0,-1302.0,108.6,426.0,95.1,6,S,1B,3031
2020-11-24 10:00:27.370262016,-74.92,-109.44,991.0,135.0,-956.0,131.1,261.0,175.9,6,S,1B,3031
